rank,naics_code,entity_name,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,sba_size_standard_basis,sba_size_standard_value,sba_size_standard_display,employees_per_establishment,payroll_per_establishment_usd,employment_gap_ratio_bls_to_cbp,fragmentation,operating_complexity,willingness_to_pay,growth,market_scale,workflow_intensity,thesis_fit,software_wedge,rollup_wedge,confidence,workflow_matrix_industry_code,workflow_mapping_type,workflow_coverage_share_pct,workflow_frontline_operator_share_pct,workflow_knowledge_work_share_pct,workflow_documentation,workflow_coordination,workflow_compliance,workflow_care_service,workflow_top_occupations,recommended_move,summary,caveats
330,237210,Land Subdivision,direct,237210,4618,22909,2183946000,95331.35,5799,36695,114955,-0.6,1.3,receipts_millions_usd,34.0,$34.00M,4.96,472920.31,1.602,80.6,9.0,43.5,31.5,43.0,69.2,56.0,49.9,59.5,85.0,237200,exact_title,84.1,56.8,11.9,70.9,75.0,72.3,56.8,Construction laborers (8.8%)|General and operations managers (8.8%)|Construction managers (7.5%),monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
331,423690,Other Electronic Parts and Equipment Merchant Wholesalers,direct,423690,10346,245753,39987219000,162713.05,15403,141614,130018,-1.8,2.0,employees,250.0,250 employees,23.75,3864993.14,0.576,67.7,39.6,41.5,24.9,92.4,75.9,73.0,57.1,59.4,85.0,4230A1,broad_parent,87.8,80.0,8.9,67.3,68.2,67.9,55.5,"Sales representatives, wholesale and manufacturing, except technical and scientific products (15.2%)|Laborers and freight, stock, and material movers, hand (9.8%)|General and operations managers (5.1%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
332,339950,Sign Manufacturing,direct,339950,5910,72137,4085882000,56640.59,7581,76480,63399,0.3,3.7,employees,500.0,500 employees,12.21,691350.59,1.06,73.3,41.5,23.2,48.3,67.8,72.0,77.0,57.4,59.3,90.0,339900,numeric_parent,71.2,73.3,16.2,66.7,68.0,69.6,53.0,"Sales representatives, wholesale and manufacturing, except technical and scientific products (4.1%)|First-line supervisors of production and operating workers (4.0%)|General and operations managers (3.8%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
333,423510,Metal Service Centers and Other Metal Merchant Wholesalers,direct,423510,8629,141114,12017351000,85160.59,10982,132358,92918,1.2,-0.6,employees,200.0,200 employees,16.35,1392670.18,0.938,71.2,37.2,26.0,43.8,84.2,75.9,75.0,57.1,59.3,90.0,4230A1,broad_parent,87.8,80.0,8.9,67.3,68.2,67.9,55.5,"Sales representatives, wholesale and manufacturing, except technical and scientific products (15.2%)|Laborers and freight, stock, and material movers, hand (9.8%)|General and operations managers (5.1%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
334,541910,Marketing Research and Public Opinion Polling,direct,541910,4522,83902,8936223000,106507.87,10685,70690,114157,-4.6,4.8,receipts_millions_usd,22.5,$22.50M,18.55,1976166.08,0.843,63.1,36.1,50.9,28.1,77.3,72.5,60.0,54.2,59.3,90.0,541900,numeric_parent,88.7,70.8,21.4,73.9,70.4,70.6,67.5,Veterinary technologists and technicians (13.6%)|Veterinary assistants and laboratory animal caretakers (11.6%)|Veterinarians (8.2%),monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
335,522310,Mortgage and Nonmortgage Loan Brokers,direct,522310,10957,76003,6980233000,91841.55,17364,83395,114792,-3.6,8.3,receipts_millions_usd,15.0,$15.00M,6.94,637056.95,1.097,86.0,13.5,23.5,39.2,74.0,63.9,50.0,49.7,59.1,90.0,522000,broad_parent,90.4,55.5,31.5,74.2,70.0,69.6,51.5,"Tellers (13.1%)|Securities, commodities, and financial services sales agents (10.8%)|Loan officers (9.3%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
336,524127,Direct Title Insurance Carriers,direct,524127,3999,46518,5336006000,114708.41,5738,54491,114138,-4.4,6.7,receipts_millions_usd,47.0,$47.00M,11.63,1334335.08,1.171,70.0,23.7,70.5,34.0,65.2,50.6,0.0,45.5,59.1,90.0,524120,numeric_parent,92.7,32.3,56.2,76.0,68.1,68.2,50.6,"Claims adjusters, examiners, and investigators (18.3%)|Insurance underwriters (9.7%)|Insurance claims and policy processing clerks (8.3%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
337,611691,Exam Preparation and Tutoring,direct,611691,10285,109224,3062081000,28034.87,11451,105753,30706,5.4,3.0,receipts_millions_usd,12.5,$12.50M,10.62,297722.99,0.968,80.1,46.3,13.8,73.2,68.8,43.2,62.0,54.9,59.0,90.0,61160P,numeric_parent,89.5,22.2,71.7,66.2,70.2,62.6,63.7,Self-enrichment teachers (32.1%)|Tutors (12.1%)|Coaches and scouts (11.6%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
338,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,direct,423990,9928,88789,6164515000,69428.81,15940,92260,84965,1.7,3.5,employees,100.0,100 employees,8.94,620922.14,1.039,81.7,25.5,11.3,57.9,74.4,74.0,75.0,55.9,58.9,90.0,423000,broad_parent,88.0,76.5,12.2,67.9,68.2,67.8,54.9,"Sales representatives, wholesale and manufacturing, except technical and scientific products (12.4%)|Laborers and freight, stock, and material movers, hand (6.7%)|General and operations managers (4.7%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
339,424690,Other Chemical and Allied Products Merchant Wholesalers,direct,424690,9139,129957,12251593000,94274.21,14237,121343,111112,0.4,1.6,employees,175.0,175 employees,14.22,1340583.54,0.934,74.1,30.1,24.2,40.6,83.7,75.3,75.0,55.7,58.9,90.0,4240A3,broad_parent,91.1,78.4,6.8,65.5,66.8,67.6,55.2,"Sales representatives, wholesale and manufacturing, except technical and scientific products (12.3%)|Heavy and tractor-trailer truck drivers (10.5%)|Laborers and freight, stock, and material movers, hand (8.4%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
340,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,direct,424990,10634,77207,4911307000,63612.2,15012,83095,76139,-0.7,3.8,employees,100.0,100 employees,7.26,461849.45,1.076,85.1,24.8,8.2,41.0,70.6,71.0,81.0,54.5,58.9,90.0,4240A2,broad_parent,89.5,68.7,13.4,67.9,69.0,66.4,54.8,"Sales representatives, wholesale and manufacturing, technical and scientific products (11.2%)|Sales representatives, wholesale and manufacturing, except technical and scientific products (9.6%)|General and operations managers (5.2%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
341,541370,Surveying and Mapping (except Geophysical) Services,direct,541370,7372,54801,3774939000,68884.49,8574,55956,76400,1.4,4.4,receipts_millions_usd,19.0,$19.00M,7.43,512064.43,1.021,81.7,25.3,27.9,61.8,63.5,44.5,56.0,51.1,58.9,90.0,541300,numeric_parent,84.9,19.3,68.7,72.9,74.4,73.8,48.1,"Civil engineers (11.7%)|Architects, except landscape and naval (5.5%)|Architectural and civil drafters (4.7%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
342,323113,Commercial Screen Printing,direct,323113,5800,69967,2973145000,42493.53,7710,76218,46120,-1.8,4.1,employees,500.0,500 employees,12.06,512611.21,1.089,73.2,47.0,20.2,35.1,63.1,77.7,77.0,57.5,58.7,90.0,323000,broad_parent,93.3,84.6,8.9,65.4,70.0,69.5,55.8,Printing press operators (23.9%)|Print binding and finishing workers (8.6%)|Customer service representatives (4.5%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
343,523999,Miscellaneous Financial Investment Activities,direct,523999,2033,29719,5853101000,196948.11,7861,37074,208810,6.4,9.0,receipts_millions_usd,47.0,$47.00M,14.62,2879046.24,1.247,59.8,26.0,80.1,94.5,59.2,56.7,4.0,52.1,58.7,90.0,523000,broad_parent,83.9,40.5,41.2,75.5,70.5,66.7,53.0,"Personal financial advisors (18.0%)|Securities, commodities, and financial services sales agents (15.2%)|Financial managers (5.7%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
344,541820,Public Relations Agencies,direct,541820,8635,62370,7406824000,118756.2,15292,66017,136635,0.2,1.2,receipts_millions_usd,19.0,$19.00M,7.22,857767.69,1.058,83.2,12.0,33.6,37.6,72.5,53.3,48.0,48.0,58.7,90.0,541800,numeric_parent,84.6,37.1,45.6,67.3,72.7,62.7,51.1,Advertising sales agents (9.5%)|Public relations specialists (8.0%)|Market research analysts and marketing specialists (7.4%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
345,424210,Drugs and Druggists’ Sundries Merchant Wholesalers,direct,424210,9959,311580,45647533000,146503.41,22978,258273,166998,-0.2,2.9,employees,250.0,250 employees,31.29,4583545.84,0.829,64.9,41.4,44.1,40.2,93.7,71.0,67.0,57.2,58.6,90.0,4240A2,broad_parent,89.5,68.7,13.4,67.9,69.0,66.4,54.8,"Sales representatives, wholesale and manufacturing, technical and scientific products (11.2%)|Sales representatives, wholesale and manufacturing, except technical and scientific products (9.6%)|General and operations managers (5.2%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
346,811114,Specialized Automotive Repair,aggregated_2017_to_2022,811112|811113|811118,8837,34251,1641264000,47918.72,10274,44723,56754,-0.6,4.5,receipts_millions_usd,9.0,$9.00M,3.88,185726.38,1.306,88.1,26.7,4.8,46.3,45.2,80.8,90.0,57.3,58.2,75.0,811110,numeric_parent,97.1,92.3,1.3,63.0,63.0,72.8,52.3,"Automotive service technicians and mechanics (46.3%)|Bus and truck mechanics and diesel engine specialists (6.4%)|First-line supervisors of mechanics, installers, and repairers (6.1%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP business anchors are aggregated forward from 2017 NAICS into the 2022 definition. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
347,423730,Warm Air Heating and Air‑Conditioning Equipment and Supplies Merchant Wholesalers,direct,423730,6427,81052,7529787000,92900.69,7296,83818,111711,0.7,7.3,employees,175.0,175 employees,12.61,1171586.59,1.034,73.3,26.3,22.0,65.2,75.8,75.9,75.0,56.6,58.2,90.0,4230A1,broad_parent,87.8,80.0,8.9,67.3,68.2,67.9,55.5,"Sales representatives, wholesale and manufacturing, except technical and scientific products (15.2%)|Laborers and freight, stock, and material movers, hand (9.8%)|General and operations managers (5.1%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
348,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,direct,423720,6747,87630,7473876000,85289.01,10574,120754,92407,0.7,2.9,employees,200.0,200 employees,12.99,1107733.21,1.378,73.0,31.3,22.8,47.6,76.4,75.9,75.0,55.9,58.2,85.0,4230A1,broad_parent,87.8,80.0,8.9,67.3,68.2,67.9,55.5,"Sales representatives, wholesale and manufacturing, except technical and scientific products (15.2%)|Laborers and freight, stock, and material movers, hand (9.8%)|General and operations managers (5.1%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
349,561431,Private Mail Centers,direct,561431,5604,28218,828491000,29360.37,5660,35704,34537,-1.2,0.3,receipts_millions_usd,19.0,$19.00M,5.04,147839.22,1.265,82.7,33.5,20.3,26.2,31.9,77.4,86.0,56.0,58.1,90.0,561400,numeric_parent,89.1,82.2,11.6,75.4,71.7,65.9,54.6,Customer service representatives (34.1%)|Telemarketers (6.7%)|Bill and account collectors (6.0%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
350,561622,Locksmiths,direct,561622,3991,16320,788608000,48321.57,4274,17218,57710,-0.5,4.2,receipts_millions_usd,25.0,$25.00M,4.09,197596.59,1.055,80.1,26.8,30.1,45.2,24.2,78.4,74.0,55.7,58.1,90.0,561620,numeric_parent,84.8,83.8,7.9,70.8,71.0,72.3,49.4,Security and fire alarm systems installers (33.4%)|Locksmiths and safe repairers (6.7%)|General and operations managers (5.1%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
351,424350,Clothing and Clothing Accessories Merchant Wholesalers,aggregated_2017_to_2022,424320|424330,9552,121284,8794728000,72513.51,10944,95585,87943,-3.4,4.3,employees,150.0,150 employees,12.7,920721.11,0.788,76.7,31.9,18.4,29.0,80.8,71.5,75.0,53.9,58.1,80.0,424300,numeric_parent,90.2,71.6,15.5,67.2,69.5,65.4,55.2,"Sales representatives, wholesale and manufacturing, except technical and scientific products (11.5%)|Stockers and order fillers (6.7%)|Laborers and freight, stock, and material movers, hand (6.3%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP business anchors are aggregated forward from 2017 NAICS into the 2022 definition. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
352,541199,All Other Legal Services,direct,541199,5207,31125,2160832000,69424.32,10936,41490,94960,6.1,6.3,receipts_millions_usd,20.5,$20.50M,5.98,414985.98,1.333,80.5,15.7,30.5,90.4,47.6,47.1,56.0,51.9,58.1,85.0,541100,numeric_parent,95.9,26.9,69.9,77.7,72.9,66.4,57.4,Lawyers (37.2%)|Paralegals and legal assistants (23.5%)|Legal secretaries and administrative assistants (10.4%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
353,339113,Surgical Appliance and Supplies Manufacturing,direct,339113,1828,95927,9335229000,97315.97,3530,100980,95002,-2.8,6.7,employees,800.0,800 employees,52.48,5106799.23,1.053,42.0,59.8,65.0,39.9,79.2,70.8,69.0,57.9,56.6,90.0,339100,numeric_parent,76.5,69.8,19.9,68.9,68.9,72.0,53.5,"Dental laboratory technicians (8.7%)|Industrial engineers (4.2%)|Inspectors, testers, sorters, samplers, and weighers (4.2%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
354,621410,Family Planning Centers,direct,621410,2673,29494,1888528000,64030.92,3042,29648,68530,4.2,2.2,receipts_millions_usd,19.0,$19.00M,11.03,706520.01,1.005,66.7,36.9,31.1,65.8,45.1,78.5,76.0,57.8,56.5,90.0,621400,numeric_parent,78.5,76.4,15.4,78.9,74.5,75.7,83.6,Registered nurses (15.0%)|Medical assistants (7.1%)|Medical secretaries and administrative assistants (5.1%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
355,332311,Prefabricated Metal Building and Component Manufacturing,direct,332311,799,28109,1937492000,68927.82,1497,37792,78001,2.4,5.1,employees,750.0,750 employees,35.18,2424896.12,1.344,40.7,56.7,50.8,71.8,44.7,76.9,69.0,57.8,50.4,85.0,3320A2,broad_parent,83.9,85.2,8.2,62.3,64.9,70.8,52.5,"Welders, cutters, solderers, and brazers (13.7%)|Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.7%)|First-line supervisors of production and operating workers (4.7%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
356,314110,Carpet and Rug Mills,direct,314110,225,27178,1353129000,49787.66,428,25935,60753,-4.2,6.5,employees,1500.0,"1,500 employees",120.79,6013906.67,0.954,11.8,87.3,91.3,34.1,39.0,77.8,61.0,57.8,49.2,90.0,314000,broad_parent,86.7,89.6,4.7,59.6,62.4,66.0,51.3,"Sewing machine operators (24.7%)|Textile winding, twisting, and drawing out machine setters, operators, and tenders (5.9%)|First-line supervisors of production and operating workers (4.6%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
357,325510,Paint and Coating Manufacturing,direct,325510,1142,42280,3020072000,71430.27,1791,41868,87884,-0.2,4.8,employees,1000.0,"1,000 employees",37.02,2644546.41,0.99,43.4,53.8,62.8,51.4,57.0,75.1,69.0,57.7,55.8,90.0,3250A2,broad_parent,91.4,77.5,12.8,68.5,69.2,72.8,56.1,"Chemical equipment operators and tenders (11.5%)|Packaging and filling machine operators and tenders (10.2%)|Mixing and blending machine setters, operators, and tenders (7.8%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
358,333111,Farm Machinery and Equipment Manufacturing,direct,333111,1118,67750,4883476000,72080.83,1671,65298,76507,-5.0,0.2,employees,1250.0,"1,250 employees",60.6,4368046.51,0.964,35.8,69.6,81.3,9.0,68.9,70.0,69.0,57.0,57.7,90.0,3330A1,broad_parent,74.6,70.5,19.8,65.1,66.9,71.5,51.4,"Welders, cutters, solderers, and brazers (7.8%)|Machinists (4.1%)|Mechanical engineers (3.7%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
359,711510,"Independent Artists, Writers, and Performers",direct,711510,38064,61989,11490065000,185356.51,40861,61092,162062,2.5,6.7,receipts_millions_usd,9.0,$9.00M,1.63,301861.73,0.986,97.3,1.3,7.5,76.9,75.6,47.4,32.0,46.8,57.7,90.0,711500,exact_title,52.7,28.3,55.6,63.1,69.9,63.4,52.4,General and operations managers (7.3%)|Producers and directors (7.3%)|Writers and authors (6.9%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
360,322220,Paper Bag and Coated and Treated Paper Manufacturing,direct,322220,708,57432,3889754000,67727.99,1093,53474,76090,-1.4,5.4,employees,750.0,750 employees,81.12,5494002.82,0.931,28.2,75.1,61.7,44.9,64.2,80.1,61.0,57.6,49.4,90.0,322200,numeric_parent,93.0,89.4,5.5,65.5,67.3,72.1,58.2,"Paper goods machine setters, operators, and tenders (24.2%)|Laborers and freight, stock, and material movers, hand (5.0%)|Industrial truck and tractor operators (4.9%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
361,327420,Gypsum Product Manufacturing,direct,327420,184,11865,1008465000,84994.94,272,12193,90256,3.4,3.3,employees,1500.0,"1,500 employees",64.48,5480788.04,1.028,15.4,65.5,90.7,66.6,23.6,79.6,65.0,57.6,48.1,90.0,327000,broad_parent,89.5,89.2,4.8,64.1,65.9,72.8,53.0,"Heavy and tractor-trailer truck drivers (18.4%)|Molders, shapers, and casters, except metal and plastic (5.3%)|Laborers and freight, stock, and material movers, hand (3.8%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
362,541930,Translation and Interpretation Services,direct,541930,2802,37750,1820616000,48228.24,5168,39557,60746,4.1,2.1,receipts_millions_usd,22.5,$22.50M,13.47,649755.89,1.048,63.9,46.1,36.9,65.0,49.1,72.5,64.0,57.5,57.6,90.0,541900,numeric_parent,88.7,70.8,21.4,73.9,70.4,70.6,67.5,Veterinary technologists and technicians (13.6%)|Veterinary assistants and laboratory animal caretakers (11.6%)|Veterinarians (8.2%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
363,423420,Office Equipment Merchant Wholesalers,direct,423420,8554,98137,6917703000,70490.26,5874,68110,86922,-1.3,3.5,employees,200.0,200 employees,11.47,808709.73,0.694,77.1,29.6,19.6,34.9,76.5,65.7,71.0,52.8,57.6,85.0,423400,numeric_parent,85.9,60.8,24.9,68.3,68.5,66.3,51.9,"Sales representatives, wholesale and manufacturing, technical and scientific products (11.1%)|Sales representatives, wholesale and manufacturing, except technical and scientific products (7.0%)|Software developers (4.5%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
364,312140,Distilleries,direct,312140,1281,23736,1587357000,66875.51,1873,26738,69362,0.4,3.1,employees,1100.0,"1,100 employees",18.53,1239154.57,1.126,51.8,49.8,60.0,46.1,39.9,76.3,69.0,57.5,57.0,90.0,312100,numeric_parent,95.8,84.6,8.2,60.0,65.4,67.5,56.8,"Bartenders (11.7%)|Packaging and filling machine operators and tenders (8.5%)|Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders (7.6%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
